CYP2C19_allele	African_American_Afro_Caribbean	American	Central_South_Asian	East_Asian	European	Latino	Near_Eastern	Oceanian	Sub_Saharan_African
*10/*17	0.0013675199999999999	1.722e-07	3.416e-07	4.1000000000000006e-06	4.308e-07	0.00039983999999999994	3.8279999999999996e-07	1.14e-07	3.466e-07
*10/*18	6.5999999999999995e-09	2e-12	2e-12	3.98e-06	2e-12	2.3999999999999996e-09	2e-12	2e-12	2e-12
*10/*19	6.5999999999999995e-09	2e-12	2e-12	4e-08	2e-12	2.3999999999999996e-09	2e-12	2e-12	2e-12
*10/*2	0.0011979	2.428e-07	5.397999999999999e-07	5.6699999999999996e-05	2.938e-07	0.00025007999999999996	2.396e-07	1.219e-06	3.1359999999999995e-07
*10/*22	6.5999999999999995e-09	2e-12	2e-12	2e-10	2e-12	2.3999999999999996e-09	2e-12	2e-12	2e-12
*10/*23	6.5999999999999995e-09	2e-12	2e-12	1.2e-07	2e-12	2.3999999999999996e-09	2e-12	2e-12	2e-12
*10/*24	6.5999999999999995e-09	2e-12	2e-12	4e-08	2e-12	2.3999999999999996e-09	2e-12	2e-12	2e-12
*10/*25	6.5999999999999995e-09	2e-12	2e-12	4e-08	2e-12	2.3999999999999996e-09	2e-12	2e-12	2e-12
*10/*26	6.5999999999999995e-09	2e-12	2e-12	2e-10	2e-12	2.3999999999999996e-09	2e-12	2e-12	2e-12
*10/*28	6.5999999999999995e-09	2e-12	2e-12	2e-10	2e-12	2.3999999999999996e-09	2e-12	2e-12	7.4e-09
*10/*29	6.5999999999999995e-09	2e-12	2e-12	4e-08	2e-12	2.3999999999999996e-09	2e-12	2e-12	2e-12
*10/*3	1.848e-05	8e-10	3.1399999999999997e-08	1.45e-05	3.2e-09	1.92e-06	3.3e-08	2.928e-07	5.4e-09
*10/*30	6.5999999999999995e-09	2e-12	2e-12	4e-08	2e-12	2.3999999999999996e-09	2e-12	2e-12	2e-12
*10/*31	6.5999999999999995e-09	2e-12	2e-12	4e-08	2e-12	2.3999999999999996e-09	2e-12	2e-12	2e-12
*10/*32	6.5999999999999995e-09	2e-12	2e-12	4e-08	2e-12	2.3999999999999996e-09	2e-12	2e-12	2e-12
*10/*33	6.5999999999999995e-09	2e-12	2e-12	4e-08	2e-12	2.3999999999999996e-09	2e-12	2e-12	2e-12
*10/*34	6.5999999999999995e-09	2e-12	2e-12	2e-10	2e-12	2.3999999999999996e-09	2e-12	2e-12	2e-12
*10/*35	0.00010494000000000001	2e-12	2e-12	2e-10	2e-12	2.3999999999999996e-09	2e-12	2e-12	6.419999999999999e-08
*10/*36	6.5999999999999995e-09	2e-12	2e-12	2e-10	2e-12	2.3999999999999996e-09	2e-12	2e-12	2e-12
*10/*37	6.5999999999999995e-09	2e-12	2e-12	2e-10	2e-12	2.3999999999999996e-09	2e-12	2e-12	2e-12
*10/*38	0.00489456	1.6604e-06	1.308e-06	0.00013026000000000002	1.5134e-06	0.0019267199999999998	1.6748e-06	4.9e-07	1.6581999999999999e-06
*10/*39	6.5999999999999995e-09	2e-12	2e-12	2e-10	2e-12	2.3999999999999996e-09	2e-12	2e-12	2e-12
*10/*4	6.5999999999999995e-09	2e-12	2e-12	4e-08	4.6e-09	1.2e-06	2e-12	2e-12	2e-12
*10/*5	6.5999999999999995e-09	2e-12	2e-12	6.4e-07	2e-10	2.3999999999999996e-09	2e-12	2e-12	2e-12
*10/*6	6.5999999999999995e-09	2e-12	2e-12	1.2e-07	5.999999999999999e-10	2.3999999999999996e-09	2e-12	2e-12	2e-12
*10/*7	6.5999999999999995e-09	2e-12	2e-12	2e-08	2e-12	2.3999999999999996e-09	2e-12	2e-12	2e-12
*10/*8	7.260000000000001e-06	2e-12	2e-12	2e-10	6.8e-09	3.1199999999999998e-06	2e-12	2e-12	2e-12
*10/*9	9.438e-05	2e-12	2e-12	2e-08	1.4e-09	1.92e-06	2e-12	2e-12	5.3999999999999994e-08
*11/*11	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12
*11/*12	2.2e-09	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*11/*13	2.4e-08	2e-12	2e-12	2e-10	4.4e-09	8e-09	2e-12	2e-12	2e-12
*11/*14	2e-12	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*11/*15	2.8e-08	2e-12	2e-12	2.8e-09	4e-09	8e-09	2e-12	2e-12	1.058e-07
*11/*16	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12
*11/*17	4.1439999999999995e-07	1.722e-07	3.416e-07	4.1e-08	4.308e-07	3.332e-07	3.8279999999999996e-07	1.14e-07	3.466e-07
*11/*18	2e-12	2e-12	2e-12	3.98e-08	2e-12	2e-12	2e-12	2e-12	2e-12
*11/*19	2e-12	2e-12	2e-12	4e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*11/*2	3.6299999999999995e-07	2.428e-07	5.397999999999999e-07	5.669999999999999e-07	2.938e-07	2.0839999999999999e-07	2.396e-07	1.219e-06	3.1359999999999995e-07
*11/*22	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12
*11/*23	2e-12	2e-12	2e-12	1.1999999999999998e-09	2e-12	2e-12	2e-12	2e-12	2e-12
*11/*24	2e-12	2e-12	2e-12	4e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*11/*25	2e-12	2e-12	2e-12	4e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*11/*26	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12
*11/*28	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	7.4e-09
*11/*29	2e-12	2e-12	2e-12	4e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*11/*3	5.6e-09	8e-10	3.1399999999999997e-08	1.45e-07	3.2e-09	1.6e-09	3.3e-08	2.928e-07	5.4e-09
*11/*30	2e-12	2e-12	2e-12	4e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*11/*31	2e-12	2e-12	2e-12	4e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*11/*32	2e-12	2e-12	2e-12	4e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*11/*33	2e-12	2e-12	2e-12	4e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*11/*34	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12
*11/*35	3.18e-08	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	6.419999999999999e-08
*11/*36	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12
*11/*37	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12
*11/*38	1.4832e-06	1.6604e-06	1.308e-06	1.3025999999999998e-06	1.5134e-06	1.6056e-06	1.6748e-06	4.9e-07	1.6581999999999999e-06
*11/*39	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12
*11/*4	2e-12	2e-12	2e-12	4e-10	4.6e-09	1e-09	2e-12	2e-12	2e-12
*11/*5	2e-12	2e-12	2e-12	6.4e-09	2e-10	2e-12	2e-12	2e-12	2e-12
*11/*6	2e-12	2e-12	2e-12	1.1999999999999998e-09	5.999999999999999e-10	2e-12	2e-12	2e-12	2e-12
*11/*7	2e-12	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*11/*8	2.2e-09	2e-12	2e-12	2e-12	6.8e-09	2.5999999999999997e-09	2e-12	2e-12	2e-12
*11/*9	2.8599999999999998e-08	2e-12	2e-12	2e-10	1.4e-09	1.6e-09	2e-12	2e-12	5.3999999999999994e-08
*12/*12	1.21e-06	1e-12	1e-12	1e-08	1e-12	1e-12	1e-12	1e-12	1e-12
*12/*13	2.64e-05	2e-12	2e-12	2e-08	4.4e-09	8e-09	2e-12	2e-12	2e-12
*12/*14	2.2e-09	2e-12	2e-12	2e-08	2e-12	2e-12	2e-12	2e-12	2e-12
*12/*15	3.08e-05	2e-12	2e-12	2.8e-07	4e-09	8e-09	2e-12	2e-12	1.058e-07
*12/*16	2.2e-09	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*12/*17	0.00045584	1.722e-07	3.416e-07	4.1000000000000006e-06	4.308e-07	3.332e-07	3.8279999999999996e-07	1.14e-07	3.466e-07
*12/*18	2.2e-09	2e-12	2e-12	3.98e-06	2e-12	2e-12	2e-12	2e-12	2e-12
*12/*19	2.2e-09	2e-12	2e-12	4e-08	2e-12	2e-12	2e-12	2e-12	2e-12
*12/*2	0.0003993	2.428e-07	5.397999999999999e-07	5.6699999999999996e-05	2.938e-07	2.0839999999999999e-07	2.396e-07	1.219e-06	3.1359999999999995e-07
*12/*22	2.2e-09	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*12/*23	2.2e-09	2e-12	2e-12	1.2e-07	2e-12	2e-12	2e-12	2e-12	2e-12
*12/*24	2.2e-09	2e-12	2e-12	4e-08	2e-12	2e-12	2e-12	2e-12	2e-12
*12/*25	2.2e-09	2e-12	2e-12	4e-08	2e-12	2e-12	2e-12	2e-12	2e-12
*12/*26	2.2e-09	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*12/*28	2.2e-09	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	7.4e-09
*12/*29	2.2e-09	2e-12	2e-12	4e-08	2e-12	2e-12	2e-12	2e-12	2e-12
*12/*3	6.16e-06	8e-10	3.1399999999999997e-08	1.45e-05	3.2e-09	1.6e-09	3.3e-08	2.928e-07	5.4e-09
*12/*30	2.2e-09	2e-12	2e-12	4e-08	2e-12	2e-12	2e-12	2e-12	2e-12
*12/*31	2.2e-09	2e-12	2e-12	4e-08	2e-12	2e-12	2e-12	2e-12	2e-12
*12/*32	2.2e-09	2e-12	2e-12	4e-08	2e-12	2e-12	2e-12	2e-12	2e-12
*12/*33	2.2e-09	2e-12	2e-12	4e-08	2e-12	2e-12	2e-12	2e-12	2e-12
*12/*34	2.2e-09	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*12/*35	3.498000000000001e-05	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	6.419999999999999e-08
*12/*36	2.2e-09	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*12/*37	2.2e-09	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*12/*38	0.0016315200000000002	1.6604e-06	1.308e-06	0.00013026000000000002	1.5134e-06	1.6056e-06	1.6748e-06	4.9e-07	1.6581999999999999e-06
*12/*39	2.2e-09	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*12/*4	2.2e-09	2e-12	2e-12	4e-08	4.6e-09	1e-09	2e-12	2e-12	2e-12
*12/*5	2.2e-09	2e-12	2e-12	6.4e-07	2e-10	2e-12	2e-12	2e-12	2e-12
*12/*6	2.2e-09	2e-12	2e-12	1.2e-07	5.999999999999999e-10	2e-12	2e-12	2e-12	2e-12
*12/*7	2.2e-09	2e-12	2e-12	2e-08	2e-12	2e-12	2e-12	2e-12	2e-12
*12/*8	2.42e-06	2e-12	2e-12	2e-10	6.8e-09	2.5999999999999997e-09	2e-12	2e-12	2e-12
*12/*9	3.146e-05	2e-12	2e-12	2e-08	1.4e-09	1.6e-09	2e-12	2e-12	5.3999999999999994e-08
*13/*13	0.000144	1e-12	1e-12	1e-08	4.84e-06	1.6e-05	1e-12	1e-12	1e-12
*13/*14	2.4e-08	2e-12	2e-12	2e-08	4.4e-09	8e-09	2e-12	2e-12	2e-12
*13/*15	0.00033600000000000004	2e-12	2e-12	2.8e-07	8.8e-06	3.2e-05	2e-12	2e-12	1.058e-07
*13/*16	2.4e-08	2e-12	2e-12	2e-10	4.4e-09	8e-09	2e-12	2e-12	2e-12
*13/*17	0.0049728	1.722e-07	3.416e-07	4.1000000000000006e-06	0.0009477600000000001	0.0013328	3.8279999999999996e-07	1.14e-07	3.466e-07
*13/*18	2.4e-08	2e-12	2e-12	3.98e-06	4.4e-09	8e-09	2e-12	2e-12	2e-12
*13/*19	2.4e-08	2e-12	2e-12	4e-08	4.4e-09	8e-09	2e-12	2e-12	2e-12
*13/*2	0.004356	2.428e-07	5.397999999999999e-07	5.6699999999999996e-05	0.00064636	0.0008336	2.396e-07	1.219e-06	3.1359999999999995e-07
*13/*22	2.4e-08	2e-12	2e-12	2e-10	4.4e-09	8e-09	2e-12	2e-12	2e-12
*13/*23	2.4e-08	2e-12	2e-12	1.2e-07	4.4e-09	8e-09	2e-12	2e-12	2e-12
*13/*24	2.4e-08	2e-12	2e-12	4e-08	4.4e-09	8e-09	2e-12	2e-12	2e-12
*13/*25	2.4e-08	2e-12	2e-12	4e-08	4.4e-09	8e-09	2e-12	2e-12	2e-12
*13/*26	2.4e-08	2e-12	2e-12	2e-10	4.4e-09	8e-09	2e-12	2e-12	2e-12
*13/*28	2.4e-08	2e-12	2e-12	2e-10	4.4e-09	8e-09	2e-12	2e-12	7.4e-09
*13/*29	2.4e-08	2e-12	2e-12	4e-08	4.4e-09	8e-09	2e-12	2e-12	2e-12
*13/*3	6.720000000000001e-05	8e-10	3.1399999999999997e-08	1.45e-05	7.04e-06	6.4000000000000006e-06	3.3e-08	2.928e-07	5.4e-09
*13/*30	2.4e-08	2e-12	2e-12	4e-08	4.4e-09	8e-09	2e-12	2e-12	2e-12
*13/*31	2.4e-08	2e-12	2e-12	4e-08	4.4e-09	8e-09	2e-12	2e-12	2e-12
*13/*32	2.4e-08	2e-12	2e-12	4e-08	4.4e-09	8e-09	2e-12	2e-12	2e-12
*13/*33	2.4e-08	2e-12	2e-12	4e-08	4.4e-09	8e-09	2e-12	2e-12	2e-12
*13/*34	2.4e-08	2e-12	2e-12	2e-10	4.4e-09	8e-09	2e-12	2e-12	2e-12
*13/*35	0.0003816	2e-12	2e-12	2e-10	4.4e-09	8e-09	2e-12	2e-12	6.419999999999999e-08
*13/*36	2.4e-08	2e-12	2e-12	2e-10	4.4e-09	8e-09	2e-12	2e-12	2e-12
*13/*37	2.4e-08	2e-12	2e-12	2e-10	4.4e-09	8e-09	2e-12	2e-12	2e-12
*13/*38	0.017798400000000002	1.6604e-06	1.308e-06	0.00013026000000000002	0.0033294800000000005	0.0064224	1.6748e-06	4.9e-07	1.6581999999999999e-06
*13/*39	2.4e-08	2e-12	2e-12	2e-10	4.4e-09	8e-09	2e-12	2e-12	2e-12
*13/*4	2.4e-08	2e-12	2e-12	4e-08	1.012e-05	4e-06	2e-12	2e-12	2e-12
*13/*5	2.4e-08	2e-12	2e-12	6.4e-07	4.4e-07	8e-09	2e-12	2e-12	2e-12
*13/*6	2.4e-08	2e-12	2e-12	1.2e-07	1.32e-06	8e-09	2e-12	2e-12	2e-12
*13/*7	2.4e-08	2e-12	2e-12	2e-08	4.4e-09	8e-09	2e-12	2e-12	2e-12
*13/*8	2.64e-05	2e-12	2e-12	2e-10	1.496e-05	1.04e-05	2e-12	2e-12	2e-12
*13/*9	0.0003432	2e-12	2e-12	2e-08	3.08e-06	6.4000000000000006e-06	2e-12	2e-12	5.3999999999999994e-08
*14/*14	1e-12	1e-12	1e-12	1e-08	1e-12	1e-12	1e-12	1e-12	1e-12
*14/*15	2.8e-08	2e-12	2e-12	2.8e-07	4e-09	8e-09	2e-12	2e-12	1.058e-07
*14/*16	2e-12	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*14/*17	4.1439999999999995e-07	1.722e-07	3.416e-07	4.1000000000000006e-06	4.308e-07	3.332e-07	3.8279999999999996e-07	1.14e-07	3.466e-07
*14/*18	2e-12	2e-12	2e-12	3.98e-06	2e-12	2e-12	2e-12	2e-12	2e-12
*14/*19	2e-12	2e-12	2e-12	4e-08	2e-12	2e-12	2e-12	2e-12	2e-12
*14/*2	3.6299999999999995e-07	2.428e-07	5.397999999999999e-07	5.6699999999999996e-05	2.938e-07	2.0839999999999999e-07	2.396e-07	1.219e-06	3.1359999999999995e-07
*14/*22	2e-12	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*14/*23	2e-12	2e-12	2e-12	1.2e-07	2e-12	2e-12	2e-12	2e-12	2e-12
*14/*24	2e-12	2e-12	2e-12	4e-08	2e-12	2e-12	2e-12	2e-12	2e-12
*14/*25	2e-12	2e-12	2e-12	4e-08	2e-12	2e-12	2e-12	2e-12	2e-12
*14/*26	2e-12	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*14/*28	2e-12	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	7.4e-09
*14/*29	2e-12	2e-12	2e-12	4e-08	2e-12	2e-12	2e-12	2e-12	2e-12
*14/*3	5.6e-09	8e-10	3.1399999999999997e-08	1.45e-05	3.2e-09	1.6e-09	3.3e-08	2.928e-07	5.4e-09
*14/*30	2e-12	2e-12	2e-12	4e-08	2e-12	2e-12	2e-12	2e-12	2e-12
*14/*31	2e-12	2e-12	2e-12	4e-08	2e-12	2e-12	2e-12	2e-12	2e-12
*14/*32	2e-12	2e-12	2e-12	4e-08	2e-12	2e-12	2e-12	2e-12	2e-12
*14/*33	2e-12	2e-12	2e-12	4e-08	2e-12	2e-12	2e-12	2e-12	2e-12
*14/*34	2e-12	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*14/*35	3.18e-08	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	6.419999999999999e-08
*14/*36	2e-12	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*14/*37	2e-12	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*14/*38	1.4832e-06	1.6604e-06	1.308e-06	0.00013026000000000002	1.5134e-06	1.6056e-06	1.6748e-06	4.9e-07	1.6581999999999999e-06
*14/*39	2e-12	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*14/*4	2e-12	2e-12	2e-12	4e-08	4.6e-09	1e-09	2e-12	2e-12	2e-12
*14/*5	2e-12	2e-12	2e-12	6.4e-07	2e-10	2e-12	2e-12	2e-12	2e-12
*14/*6	2e-12	2e-12	2e-12	1.2e-07	5.999999999999999e-10	2e-12	2e-12	2e-12	2e-12
*14/*7	2e-12	2e-12	2e-12	2e-08	2e-12	2e-12	2e-12	2e-12	2e-12
*14/*8	2.2e-09	2e-12	2e-12	2e-10	6.8e-09	2.5999999999999997e-09	2e-12	2e-12	2e-12
*14/*9	2.8599999999999998e-08	2e-12	2e-12	2e-08	1.4e-09	1.6e-09	2e-12	2e-12	5.3999999999999994e-08
*15/*15	0.00019600000000000002	1e-12	1e-12	1.96e-06	4e-06	1.6e-05	1e-12	1e-12	0.0027984100000000003
*15/*16	2.8e-08	2e-12	2e-12	2.8e-09	4e-09	8e-09	2e-12	2e-12	1.058e-07
*15/*17	0.0058016	1.722e-07	3.416e-07	5.74e-05	0.0008616	0.0013328	3.8279999999999996e-07	1.14e-07	0.018335140000000003
*15/*18	2.8e-08	2e-12	2e-12	5.572e-05	4e-09	8e-09	2e-12	2e-12	1.058e-07
*15/*19	2.8e-08	2e-12	2e-12	5.6e-07	4e-09	8e-09	2e-12	2e-12	1.058e-07
*15/*2	0.005082	2.428e-07	5.397999999999999e-07	0.0007937999999999999	0.0005876	0.0008336	2.396e-07	1.219e-06	0.01658944
*15/*22	2.8e-08	2e-12	2e-12	2.8e-09	4e-09	8e-09	2e-12	2e-12	1.058e-07
*15/*23	2.8e-08	2e-12	2e-12	1.6799999999999998e-06	4e-09	8e-09	2e-12	2e-12	1.058e-07
*15/*24	2.8e-08	2e-12	2e-12	5.6e-07	4e-09	8e-09	2e-12	2e-12	1.058e-07
*15/*25	2.8e-08	2e-12	2e-12	5.6e-07	4e-09	8e-09	2e-12	2e-12	1.058e-07
*15/*26	2.8e-08	2e-12	2e-12	2.8e-09	4e-09	8e-09	2e-12	2e-12	1.058e-07
*15/*28	2.8e-08	2e-12	2e-12	2.8e-09	4e-09	8e-09	2e-12	2e-12	0.00039146000000000005
*15/*29	2.8e-08	2e-12	2e-12	5.6e-07	4e-09	8e-09	2e-12	2e-12	1.058e-07
*15/*3	7.84e-05	8e-10	3.1399999999999997e-08	0.00020299999999999997	6.4000000000000006e-06	6.4000000000000006e-06	3.3e-08	2.928e-07	0.00028566
*15/*30	2.8e-08	2e-12	2e-12	5.6e-07	4e-09	8e-09	2e-12	2e-12	1.058e-07
*15/*31	2.8e-08	2e-12	2e-12	5.6e-07	4e-09	8e-09	2e-12	2e-12	1.058e-07
*15/*32	2.8e-08	2e-12	2e-12	5.6e-07	4e-09	8e-09	2e-12	2e-12	1.058e-07
*15/*33	2.8e-08	2e-12	2e-12	5.6e-07	4e-09	8e-09	2e-12	2e-12	1.058e-07
*15/*34	2.8e-08	2e-12	2e-12	2.8e-09	4e-09	8e-09	2e-12	2e-12	1.058e-07
*15/*35	0.00044520000000000003	2e-12	2e-12	2.8e-09	4e-09	8e-09	2e-12	2e-12	0.00339618
*15/*36	2.8e-08	2e-12	2e-12	2.8e-09	4e-09	8e-09	2e-12	2e-12	1.058e-07
*15/*37	2.8e-08	2e-12	2e-12	2.8e-09	4e-09	8e-09	2e-12	2e-12	1.058e-07
*15/*38	0.0207648	1.6604e-06	1.308e-06	0.0018236399999999999	0.0030268	0.0064224	1.6748e-06	4.9e-07	0.08771878
*15/*39	2.8e-08	2e-12	2e-12	2.8e-09	4e-09	8e-09	2e-12	2e-12	1.058e-07
*15/*4	2.8e-08	2e-12	2e-12	5.6e-07	9.2e-06	4e-06	2e-12	2e-12	1.058e-07
*15/*5	2.8e-08	2e-12	2e-12	8.96e-06	4.0000000000000003e-07	8e-09	2e-12	2e-12	1.058e-07
*15/*6	2.8e-08	2e-12	2e-12	1.6799999999999998e-06	1.2e-06	8e-09	2e-12	2e-12	1.058e-07
*15/*7	2.8e-08	2e-12	2e-12	2.8e-07	4e-09	8e-09	2e-12	2e-12	1.058e-07
*15/*8	3.08e-05	2e-12	2e-12	2.8e-09	1.36e-05	1.04e-05	2e-12	2e-12	1.058e-07
*15/*9	0.00040040000000000003	2e-12	2e-12	2.8e-07	2.8e-06	6.4000000000000006e-06	2e-12	2e-12	0.0028566
*16/*16	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12
