CYP2C19_allele	African_American_Afro_Caribbean	American	Central_South_Asian	East_Asian	European	Latino	Near_Eastern	Oceanian	Sub_Saharan_African
*1/*1	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12	1e-12
*1/*10	6.5999999999999995e-09	2e-12	2e-12	2e-10	2e-12	2.3999999999999996e-09	2e-12	2e-12	2e-12
*1/*11	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12
*1/*12	2.2e-09	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*1/*13	2.4e-08	2e-12	2e-12	2e-10	4.4e-09	8e-09	2e-12	2e-12	2e-12
*1/*14	2e-12	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*1/*15	2.8e-08	2e-12	2e-12	2.8e-09	4e-09	8e-09	2e-12	2e-12	1.058e-07
*1/*16	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12
*1/*17	4.1439999999999995e-07	1.722e-07	3.416e-07	4.1e-08	4.308e-07	3.332e-07	3.8279999999999996e-07	1.14e-07	3.466e-07
*1/*18	2e-12	2e-12	2e-12	3.98e-08	2e-12	2e-12	2e-12	2e-12	2e-12
*1/*19	2e-12	2e-12	2e-12	4e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*1/*2	3.6299999999999995e-07	2.428e-07	5.397999999999999e-07	5.669999999999999e-07	2.938e-07	2.0839999999999999e-07	2.396e-07	1.219e-06	3.1359999999999995e-07
*1/*22	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12
*1/*23	2e-12	2e-12	2e-12	1.1999999999999998e-09	2e-12	2e-12	2e-12	2e-12	2e-12
*1/*24	2e-12	2e-12	2e-12	4e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*1/*25	2e-12	2e-12	2e-12	4e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*1/*26	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12
*1/*28	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	7.4e-09
*1/*29	2e-12	2e-12	2e-12	4e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*1/*3	5.6e-09	8e-10	3.1399999999999997e-08	1.45e-07	3.2e-09	1.6e-09	3.3e-08	2.928e-07	5.4e-09
*1/*30	2e-12	2e-12	2e-12	4e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*1/*31	2e-12	2e-12	2e-12	4e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*1/*32	2e-12	2e-12	2e-12	4e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*1/*33	2e-12	2e-12	2e-12	4e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*1/*34	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12
*1/*35	3.18e-08	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	6.419999999999999e-08
*1/*36	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12
*1/*37	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12
*1/*38	1.4832e-06	1.6604e-06	1.308e-06	1.3025999999999998e-06	1.5134e-06	1.6056e-06	1.6748e-06	4.9e-07	1.6581999999999999e-06
*1/*39	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12	2e-12
*1/*4	2e-12	2e-12	2e-12	4e-10	4.6e-09	1e-09	2e-12	2e-12	2e-12
*1/*5	2e-12	2e-12	2e-12	6.4e-09	2e-10	2e-12	2e-12	2e-12	2e-12
*1/*6	2e-12	2e-12	2e-12	1.1999999999999998e-09	5.999999999999999e-10	2e-12	2e-12	2e-12	2e-12
*1/*7	2e-12	2e-12	2e-12	2e-10	2e-12	2e-12	2e-12	2e-12	2e-12
*1/*8	2.2e-09	2e-12	2e-12	2e-12	6.8e-09	2.5999999999999997e-09	2e-12	2e-12	2e-12
*1/*9	2.8599999999999998e-08	2e-12	2e-12	2e-10	1.4e-09	1.6e-09	2e-12	2e-12	5.3999999999999994e-08
*10/*10	1.0889999999999999e-05	1e-12	1e-12	1e-08	1e-12	1.4399999999999998e-06	1e-12	1e-12	1e-12
*10/*11	6.5999999999999995e-09	2e-12	2e-12	2e-10	2e-12	2.3999999999999996e-09	2e-12	2e-12	2e-12
*10/*12	7.260000000000001e-06	2e-12	2e-12	2e-08	2e-12	2.3999999999999996e-09	2e-12	2e-12	2e-12
*10/*13	7.92e-05	2e-12	2e-12	2e-08	4.4e-09	9.6e-06	2e-12	2e-12	2e-12
*10/*14	6.5999999999999995e-09	2e-12	2e-12	2e-08	2e-12	2.3999999999999996e-09	2e-12	2e-12	2e-12
*10/*15	9.24e-05	2e-12	2e-12	2.8e-07	4e-09	9.6e-06	2e-12	2e-12	1.058e-07
*10/*16	6.5999999999999995e-09	2e-12	2e-12	2e-10	2e-12	2.3999999999999996e-09	2e-12	2e-12	2e-12
